timestamp,event,performance,seat_name,price,id,note
"2026-08-11 12:31:21","appear","8月22日","指定席","12000","RTK_1786418946_EfjZWoHC",""
"2026-08-11 12:32:13","disappear","8月22日","指定席","12000","RTK_1786418946_EfjZWoHC","掲載52秒"
"2026-08-11 12:33:22","appear","8月23日","指定席","12000","RTK_1786251316_rEhjbD0F",""
"2026-08-11 12:33:32","disappear","8月23日","指定席","12000","RTK_1786251316_rEhjbD0F","掲載11秒"
"2026-08-11 12:34:02","appear","8月23日","指定席","12000","RTK_1786251316_rEhjbD0F",""
"2026-08-11 12:34:12","disappear","8月23日","指定席","12000","RTK_1786251316_rEhjbD0F","掲載11秒"
"2026-08-11 12:39:41","appear","8月23日","指定席","12000","RTK_1786265395_PzLymBGl",""
"2026-08-11 12:40:08","disappear","8月23日","指定席","12000","RTK_1786265395_PzLymBGl","掲載27秒"
"2026-08-11 12:41:56","appear","8月23日","指定席","12000","RTK_1786418517_jKC2hGBf",""
"2026-08-11 12:41:56","appear","8月23日","見切れ席","9900","RTK_1786418636_ao8gl6Gt",""
"2026-08-11 12:42:04","disappear","8月23日","指定席","12000","RTK_1786418517_jKC2hGBf","掲載8秒"
"2026-08-11 12:42:12","appear","8月22日","指定席","12000","RTK_1786327558_v1JGEMlq",""
"2026-08-11 12:42:23","disappear","8月23日","見切れ席","9900","RTK_1786418636_ao8gl6Gt","掲載27秒"
"2026-08-11 12:42:27","disappear","8月22日","指定席","12000","RTK_1786327558_v1JGEMlq","掲載15秒"
"2026-08-11 12:44:18","appear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786247086_EG4KPZVA",""
"2026-08-11 12:44:32","disappear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786247086_EG4KPZVA","掲載14秒"
"2026-08-11 12:44:42","appear","8月22日","指定席","12000","RTK_1786417186_HWQp1dQS",""
"2026-08-11 12:44:42","appear","8月22日","指定席","12000","RTK_1786417693_86JauUKG",""
"2026-08-11 12:44:49","disappear","8月22日","指定席","12000","RTK_1786417693_86JauUKG","掲載7秒"
